time_ms, V1_rpm, V2_rpm, V3_rpm, V4_rpm
12, 0.0, 0.0, 0.0, 0.0
45, 58.97436, 79.48718, 38.46154, 25.641028
82, 130.76922, 141.02564, 112.82052, 71.7948736
123, 164.10257, 169.23078, 158.97436, 189.7436
163, 158.97436, 179.48718, 166.66667, 197.43592
205, 171.79488, 189.7436, 169.23078, 192.307716
247, 176.92308, 194.871816, 176.92308, 187.179484
342, 202.56412, 207.69232, 200.0, 184.61538
381, 202.56412, 210.256416, 202.56412, 194.871816
425, 202.56412, 215.384624, 202.56412, 205.12822
468, 207.69232, 217.948732, 207.69232, 207.69232
549, 220.51282, 225.64104, 217.948732, 215.384624
632, 220.51282, 230.76924, 223.076944, 223.076944
716, 225.64104, 230.76924, 223.076944, 228.20514
803, 230.76924, 233.33336, 230.76924, 225.64104
884, 230.76924, 235.89744, 228.20514, 233.33336
968, 233.33336, 238.461552, 233.33336, 233.33336
1105, 238.461552, 238.461552, 238.461552, 238.461552
1189, 235.89744, 243.58976, 235.89744, 238.461552
1273, 241.025652, 243.58976, 241.025652, 238.461552
1356, 241.025652, 241.025652, 241.025652, 241.025652
1441, 241.025652, 243.58976, 241.025652, 241.025652
1529, 246.15386, 243.58976, 241.025652, 241.025652
1613, 241.025652, 246.15386, 246.15386, 246.15386
1702, 246.15386, 243.58976, 243.58976, 246.15386
1790, 246.15386, 248.71796, 243.58976, 246.15386
1871, 246.15386, 246.15386, 246.15386, 246.15386
1956, 246.15386, 246.15386, 248.71796, 246.15386
2039, 248.71796, 246.15386, 246.15386, 246.15386
2125, 246.15386, 251.28206, 246.15386, 248.71796
2217, 248.71796, 248.71796, 248.71796, 248.71796
2301, 248.71796, 251.28206, 246.15386, 248.71796
2441, 248.71796, 246.15386, 248.71796, 248.71796
2528, 248.71796, 248.71796, 248.71796, 248.71796
2616, 248.71796, 251.28206, 251.28206, 246.15386
2700, 248.71796, 246.15386, 248.71796, 251.28206
2787, 248.71796, 251.28206, 248.71796, 248.71796
2875, 248.71796, 248.71796, 251.28206, 248.71796
2963, 251.28206, 248.71796, 248.71796, 251.28206
3051, 251.28206, 253.84618, 248.71796, 248.71796
3141, 248.71796, 248.71796, 251.28206, 251.28206
3232, 246.15386, 251.28206, 246.15386, 248.71796
3317, 251.28206, 246.15386, 251.28206, 251.28206
3407, 251.28206, 251.28206, 246.15386, 248.71796
3497, 248.71796, 248.71796, 251.28206, 251.28206
3591, 248.71796, 248.71796, 248.71796, 248.71796
3680, 251.28206, 251.28206, 251.28206, 248.71796
3825, 248.71796, 251.28206, 248.71796, 251.28206
3920, 246.15386, 248.71796, 251.28206, 248.71796
4013, 253.84618, 251.28206, 246.15386, 251.28206
4109, 248.71796, 251.28206, 251.28206, 248.71796
4204, 248.71796, 248.71796, 251.28206, 251.28206
4294, 248.71796, 251.28206, 248.71796, 251.28206
4386, 251.28206, 251.28206, 251.28206, 251.28206
4475, 251.28206, 246.15386, 251.28206, 248.71796
4569, 251.28206, 253.84618, 246.15386, 248.71796
4670, 251.28206, 251.28206, 251.28206, 251.28206
4763, 248.71796, 248.71796, 251.28206, 251.28206
4860, 248.71796, 251.28206, 251.28206, 248.71796
4954, 251.28206, 246.15386, 248.71796, 248.71796
